datasetId,auc_1year,auc_2year,auc_3year
dataset56,0.8285714285714285,0.8914027149321266,0.8973214285714286
dataset57,0.8952380952380953,0.8500000000000001,0.7841331845238095
dataset58,0.8640350877192983,0.959090909090909,0.9425373134328358
dataset59,0.9401709401709402,0.9621848739495797,0.951404084609774
dataset60,0.9385964912280702,0.9555555555555556,0.9212962962962962
dataset61,0.9298245614035088,0.8791666666666668,0.8713320373970193
dataset62,0.880952380952381,0.8928571428571428,0.8533333333333334
dataset63,0.8909090909090909,0.8666666666666667,0.8154216421364435
dataset64,0.9,0.8247863247863249,0.8247863247863249
dataset65,0.8727272727272728,0.8865546218487396,0.8522135416666666
dataset66,0.7119565217391305,0.8025210084033613,0.766112650046168
dataset67,0.8035714285714286,0.8684210526315789,0.8866380989481886
dataset68,0.9537815126050421,0.96875,0.898148148148148
dataset69,0.8047619047619047,0.8999999999999999,0.8831298055178652
dataset70,0.842391304347826,0.8482142857142858,0.8755555555555555
dataset71,0.85,0.9241071428571429,0.9049773755656109
dataset72,0.7380952380952381,0.9125000000000001,0.8988702623906706
dataset73,0.7,0.7041666666666667,0.7735058309037901
dataset74,0.85,0.9495798319327731,0.9743886171631837
dataset75,0.7474747474747474,0.8959276018099548,0.9
dataset76,0.7904761904761906,0.8392857142857143,0.8666666666666667
dataset77,0.8991596638655462,0.9316239316239316,0.9316239316239316
dataset78,0.9141414141414141,0.875,0.8258928571428571
dataset79,0.85,0.923444976076555,0.9312169312169313
dataset80,0.8232323232323232,0.8518518518518519,0.7873303167420814
dataset81,0.780952380952381,0.7563025210084034,0.8043991315019353
dataset82,0.8152173913043479,0.8794642857142857,0.851851851851852
dataset83,0.8285714285714286,0.9453781512605042,0.9356158292574478
dataset84,0.8909090909090909,0.8839285714285715,0.9282296650717703
dataset85,0.9047619047619047,0.8428571428571429,0.8054142072053735
dataset86,0.898989898989899,0.9409090909090909,0.9787104622871046
dataset87,0.7666666666666666,0.8991596638655462,0.8856673960612693
dataset88,0.8846153846153846,0.8933333333333333,0.8657407407407407
dataset89,0.8380952380952381,0.8529411764705883,0.8529411764705883
dataset90,0.8428571428571429,0.9166666666666667,0.9613996112191057
dataset91,0.9273504273504274,0.9333333333333333,0.909502262443439
dataset92,0.9273504273504274,0.9291666666666667,0.9459068294889191
dataset93,0.8737373737373737,0.8803418803418803,0.802923149457803
dataset94,0.9145299145299145,0.9833333333333333,0.9869375907111756
dataset95,0.8318181818181818,0.8791666666666667,0.8147304479878512
dataset96,0.8181818181818181,0.8041666666666667,0.7515504952328057
dataset97,0.9107142857142857,0.8772727272727273,0.848014332636608
dataset98,0.8504273504273504,0.9117647058823529,0.8677060539752006
dataset99,0.8947368421052632,0.8781512605042017,0.8902261123267688
