datasetId,auc_1year,auc_2year,auc_3year
dataset44,0.7692307692307693,0.8571428571428571,0.8571428571428571
dataset45,0.8421052631578948,0.8418803418803419,0.8463876967095851
dataset46,0.8586956521739131,0.832579185520362,0.8571428571428572
dataset47,0.7375,0.7983193277310925,0.762673231218089
dataset48,0.813131313131313,0.777310924369748,0.8000923361034165
dataset49,0.9033613445378151,0.7587719298245614,0.8145437262357416
dataset50,0.8376068376068376,0.8425925925925926,0.88
dataset51,0.8949579831932772,0.8675213675213675,0.9334302325581397
dataset52,0.7575757575757576,0.726890756302521,0.8163863163863163
dataset53,0.8952380952380953,0.9416666666666667,0.9424293154761905
dataset54,0.7083333333333334,0.8026315789473684,0.8282461972398509
dataset55,0.8214285714285714,0.8823529411764706,0.9621465773809524
dataset56,0.8095238095238095,0.7873303167420815,0.8125
dataset57,0.8285714285714286,0.8375,0.7976190476190477
dataset58,0.8114035087719299,0.8409090909090909,0.857089552238806
dataset59,0.9487179487179488,0.9369747899159664,0.9339897884755652
dataset60,0.881578947368421,0.9022222222222223,0.9490740740740741
dataset61,0.8552631578947368,0.8458333333333333,0.8672590946959178
dataset62,0.7523809523809524,0.7589285714285715,0.7822222222222223
dataset63,0.7772727272727273,0.6708333333333334,0.7008238452281774
dataset64,0.7761904761904762,0.7264957264957265,0.7264957264957265
dataset65,0.7954545454545455,0.7521008403361344,0.8237537202380953
dataset66,0.6793478260869564,0.7268907563025211,0.7753462603878117
dataset67,0.7916666666666665,0.8333333333333334,0.886832878846903
dataset68,0.8445378151260504,0.8169642857142857,0.7962962962962963
dataset69,0.7333333333333334,0.825,0.7954771596562641
dataset70,0.7771739130434782,0.7544642857142858,0.7599999999999999
dataset71,0.8045454545454546,0.8705357142857142,0.8461538461538461
dataset72,0.7666666666666666,0.8458333333333334,0.8316326530612245
dataset73,0.65,0.6458333333333334,0.7399781341107872
dataset74,0.8545454545454545,0.9159663865546218,0.9402401067140952
dataset75,0.6161616161616161,0.7873303167420814,0.805
dataset76,0.7428571428571429,0.7633928571428571,0.8088888888888889
dataset77,0.8781512605042018,0.8931623931623932,0.8931623931623932
dataset78,0.7878787878787878,0.7592592592592593,0.7008928571428572
dataset79,0.6916666666666667,0.8086124401913876,0.888888888888889
dataset80,0.7373737373737373,0.7129629629629629,0.6787330316742082
dataset81,0.7380952380952381,0.7100840336134454,0.7728688756726141
dataset82,0.6793478260869565,0.71875,0.8194444444444444
dataset83,0.7285714285714285,0.8529411764705882,0.8932859048465985
dataset84,0.8545454545454545,0.7678571428571429,0.8373205741626794
dataset85,0.7797619047619047,0.7190476190476189,0.7645023407286791
dataset86,0.7929292929292929,0.859090909090909,0.9275141930251419
dataset87,0.6619047619047619,0.7647058823529412,0.7452589350838805
dataset88,0.7008547008547009,0.7155555555555556,0.7592592592592593
dataset89,0.7285714285714285,0.7394957983193277,0.7394957983193277
dataset90,0.7714285714285715,0.8083333333333333,0.9061371841155235
dataset91,0.8376068376068376,0.7688888888888888,0.8099547511312217
dataset92,0.8803418803418804,0.8416666666666667,0.8834916327453644
dataset93,0.803030303030303,0.7948717948717948,0.7743517208863745
dataset94,0.8803418803418804,0.8916666666666667,0.9273403483309144
dataset95,0.7772727272727272,0.7291666666666667,0.7497152619589977
dataset96,0.8409090909090908,0.7541666666666667,0.70887716375081
dataset97,0.8511904761904762,0.7681818181818182,0.7389270428983776
dataset98,0.7564102564102565,0.7605042016806723,0.7450765864332605
dataset99,0.7982456140350878,0.8403361344537815,0.863876732312181
